timestamp,origem,cpu_milicores,memoria_mib
1783618668,argocd-redis-6f6867546c-dp4gw,4,5
1783618668,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618668,argocd-server-765575f778-ghm4z,1,44
1783618684,argocd-application-controller-0,5,90
1783618684,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618684,argocd-dex-server-99ff57675-dxbfz,1,18
1783618684,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618684,argocd-redis-6f6867546c-dp4gw,4,5
1783618684,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618684,argocd-server-765575f778-ghm4z,7,46
1783618699,argocd-application-controller-0,3,90
1783618699,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618699,argocd-dex-server-99ff57675-dxbfz,0,18
1783618699,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618699,argocd-redis-6f6867546c-dp4gw,4,5
1783618699,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618699,argocd-server-765575f778-ghm4z,1,46
1783618714,argocd-application-controller-0,4,91
1783618714,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618714,argocd-dex-server-99ff57675-dxbfz,1,18
1783618714,argocd-notifications-controller-8596549fb6-6n9tl,1,19
1783618714,argocd-redis-6f6867546c-dp4gw,3,5
1783618714,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618714,argocd-server-765575f778-ghm4z,1,46
1783618729,argocd-application-controller-0,3,92
1783618729,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618729,argocd-dex-server-99ff57675-dxbfz,1,18
1783618729,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618729,argocd-redis-6f6867546c-dp4gw,3,5
1783618729,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618729,argocd-server-765575f778-ghm4z,1,46
1783618744,argocd-application-controller-0,2,92
1783618744,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618744,argocd-dex-server-99ff57675-dxbfz,1,18
1783618744,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618744,argocd-redis-6f6867546c-dp4gw,3,5
1783618744,argocd-repo-server-59444f4bbb-clf2r,1,47
1783618744,argocd-server-765575f778-ghm4z,1,46
1783618759,argocd-application-controller-0,3,92
1783618759,argocd-applicationset-controller-68fd97ccb6-gsvps,1,20
1783618759,argocd-dex-server-99ff57675-dxbfz,1,18
1783618759,argocd-notifications-controller-8596549fb6-6n9tl,1,18
1783618759,argocd-redis-6f6867546c-dp4gw,3,5
1783618759,argocd-repo-server-59444f4bbb-clf2r,1,47
